game,speaker,referent,referent_id,mds_1,mds_2
nan,init,#d9445d,0,-0.8941801797540281,-1.5251941863214684
nan,init,#ae6c00,6,-3.0868640278268304,-2.151927667558341
nan,init,#009069,18,2.9264950142088484,0.14998474740072013
nan,init,#008b98,23,2.582713952127068,-1.4524347784192249
nan,init,#8c6db5,32,-1.9346134490792724,2.261278891483682
6055-523df967-9fff-4240-9641-0582631f8802,610006b5173cacb40e469b7b,#a67100,7,1.3606142164623927,0.04758317567699276
8780-7feec203-9a90-4601-a603-2684f706dee4,615e32053d4f0c25ecbd9aaf,#da464a,1,1.6734759085192201,4.144782188749177
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,61001a5d58777b6e99cc43a1,#008c8e,22,1.9460251883728714,-0.896254544815894
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#008c86,21,2.5923975785927973,-2.2787483678620664
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,611072022d4ba516aab619ac,#009072,19,2.1053422220665894,-1.5280581061017877
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,6110c8fb129da6ea8847b9f9,#698518,13,3.6437569893231094,1.14174882848626
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#0089a0,24,0.7523658965068152,-2.787927062283039
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,5be2dab1dc5b8d0001ce18a9,#337dce,29,0.9597750618475414,0.9683463100204884
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6102ad41aeb80cbf94d1ff64,#ca5a00,4,-2.6589343218237604,-1.0239972006876628
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f727fee07055f1d02a05a99,#dc4800,3,0.07297726964078093,-0.45492111179605776
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,60f5eba9476ad9bc1d4252e9,#009072,19,2.909530525148291,0.28110026087004086
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6058071bda217990b860e6ee,#ae6c00,6,0.9410310784969963,1.2459969711859835
6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef,611c16a6c39439a1dd61c1f7,#a67100,7,-0.8647199169185136,2.8782381743659946
2587-8384393b-1042-47e8-a917-5062e30b3483,5ea93131b2e5310009e185e6,#8c6db5,32,-1.4429538762181002,-2.422998478015022
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#d9445d,0,-0.9877427353109103,-1.4566803829125459
