game,speaker,systematicity,hopkins,learn_score,own_score,comm_score,alignment,n_clusters,btwn_clust_sys,within_clust_sys
6055-523df967-9fff-4240-9641-0582631f8802,610006b5173cacb40e469b7b,0.525531283095878,0.655147117587538,2.2749142449381035,0.5072542113534414,0.6376349328947274,1.08095232286415,4.0,0.930233396133952,0.7515188624457609
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,0.73965664703754,0.770803659775903,4.569171885397859,0.6376349328947274,0.5072542113534414,1.08095232286415,5.0,0.911383632210923,0.7556080282114319
8780-7feec203-9a90-4601-a603-2684f706dee4,615e32053d4f0c25ecbd9aaf,0.445129863646479,0.760051101265427,,0.5999140961492124,0.6149214511743465,1.5731862845352,4.0,0.934164366006325,0.6872868363958283
8780-7feec203-9a90-4601-a603-2684f706dee4,5a16eb755d06850001b00bea,0.534180598180751,0.689750840591963,3.5564289853472677,0.6149214511743465,0.5999140961492124,1.5731862845352,4.0,0.915041165351351,0.80672425269459
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,61001a5d58777b6e99cc43a1,0.647139248145758,0.752176190718035,3.3780966319969554,0.6823968078321382,0.7256947684198922,1.8164493135692799,4.0,0.849925981725384,0.8272290753058777
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,5b8ad127ce33a00001e696cf,0.668435753470365,0.805584968430705,1.9162390733022168,0.7256947684198922,0.6823968078321382,1.8164493135692799,5.0,0.917002020316,0.7582811136449035
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,0.558260171417021,0.640340505153576,2.7582195280978254,0.6745519031209066,0.6642308781927984,1.6390928643232,4.0,0.831113169268461,0.7651864434669087
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,611072022d4ba516aab619ac,0.776631971240014,0.766856040657598,3.005193236652817,0.6642308781927984,0.6745519031209066,1.6390928643232,4.0,0.888055284913992,0.6602153951246411
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,6110c8fb129da6ea8847b9f9,0.805989190367196,0.792301436094121,5.424222753329777,0.7767994927167338,0.8043334751433541,2.8501450558924404,5.0,0.939591349678336,0.7674953026557446
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,60f5eba9476ad9bc1d4252e9,0.832060117479643,0.845917060805355,3.826406248550474,0.8043334751433541,0.7767994927167338,2.8501450558924404,4.0,0.925813070588655,0.7649343147641735
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,5be2dab1dc5b8d0001ce18a9,0.378519721756558,0.709539587034194,2.9378282012270462,0.4903816493839619,0.41723949177952224,0.7889813647419901,5.0,0.7902259362923,0.732920863420763
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,610761e24c57926a06f219e2,0.464527892003825,0.67950732123572,0.0,0.41723949177952224,0.4903816493839619,0.7889813647419901,1.0,0.0,0.536770132137655
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6102ad41aeb80cbf94d1ff64,0.848778265245332,0.785162762263732,6.069416724336635,0.8215998135416838,0.8256570466812081,2.75188901541001,5.0,0.950646186154555,0.7284372484536019
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6058071bda217990b860e6ee,0.740696828931798,0.762018191932648,4.07514225939494,0.8256570466812081,0.8215998135416838,2.75188901541001,4.0,0.981640126644418,0.7196609142121598
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f727fee07055f1d02a05a99,0.734488151708938,0.642872750228431,4.4934270498680196,0.6822240493688265,0.6944618313514336,2.9730579956207803,4.0,0.909854165380353,0.7556544165335035
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f58ceb73a55aa065f014fb4,0.727293194851699,0.701312620700497,4.779575681609803,0.6944618313514336,0.6822240493688265,2.9730579956207803,4.0,0.887945731528389,0.7633729460724396
6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef,611c16a6c39439a1dd61c1f7,0.467575546482559,0.679629079343978,2.52408309316669,0.5713486549866045,0.6516431630663769,0.8439331427850201,4.0,0.893817104847341,0.6815987544733807
6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef,610087304c584b2ba35b4034,0.753954115497506,0.688300487170925,4.6423720132578,0.6516431630663769,0.5713486549866045,0.8439331427850201,5.0,0.885644472939949,0.7233926547396468
2587-8384393b-1042-47e8-a917-5062e30b3483,5ea93131b2e5310009e185e6,0.719496088658327,0.786647120460239,4.663822318528258,0.7676687084289597,0.8002156698827909,2.0880403683109803,5.0,0.880412913451868,0.8592760598414126
2587-8384393b-1042-47e8-a917-5062e30b3483,610414b7a275aba12c4bf8b0,0.714477862963903,0.790787261121615,2.8021903531401025,0.8002156698827909,0.7676687084289597,2.0880403683109803,5.0,0.749169348656234,0.7194668647897318
3730-56c8d6da-cb90-4c3a-817a-92d7a415d9e3,60c9fcbb6090f57f63cdbebf,0.51109869554563,0.702216779398204,3.3923292945889,0.5006697028554958,0.5173289935371634,0.9390716803009802,1.0,0.0,0.523168233875589
3730-56c8d6da-cb90-4c3a-817a-92d7a415d9e3,600f37dd7222cf0f2cf43322,0.625993692616227,0.682650556367022,3.1491246183872286,0.5173289935371634,0.5006697028554958,0.9390716803009802,1.0,0.0,0.7020357933133531
2964-8aa2bd97-5c9d-4156-b6d8-e1574af0adb1,60a2cbab9a74ddb09789cfa8,0.669801794777087,0.733710517257317,4.543350538724848,0.6511025715059421,0.594862353408994,1.6396587438605699,5.0,0.86619128900222,0.7821572687308561
2964-8aa2bd97-5c9d-4156-b6d8-e1574af0adb1,60fcf1a04c245326d05076e0,0.613754959304392,0.661350191842662,3.5718492729912903,0.594862353408994,0.6511025715059421,1.6396587438605699,4.0,0.785649370115226,0.7786834125038049
0192-51579a54-ca07-4065-adf7-f9f11e47d993,610784123ead4a29b40195b6,0.730664699209222,0.774544049654399,,0.5927192448118541,0.695340810859304,1.4173423555026199,3.0,0.988739555328383,0.7231329218183477
0192-51579a54-ca07-4065-adf7-f9f11e47d993,5e886bafe66dd44f5c740394,0.698979008432448,0.683631766689738,3.7861660556030023,0.695340810859304,0.5927192448118541,1.4173423555026199,5.0,0.885385342343526,0.7253883194619407
