"speaker","dcor","p"
"init","0.932948454960818","0.170582941705829"
"610006b5173cacb40e469b7b","0.525531283095878","0.0034996500349965"
"615e32053d4f0c25ecbd9aaf","0.445129863646479","0.0522947705229477"
"61001a5d58777b6e99cc43a1","0.647139248145758","9.99900009999e-05"
"6151f63958f5eb5b33db9239","0.558260171417021","0.000999900009999"
"611072022d4ba516aab619ac","0.776631971240014","9.99900009999e-05"
"6110c8fb129da6ea8847b9f9","0.805989190367196","9.99900009999e-05"
"5be2dab1dc5b8d0001ce18a9","0.378519721756558","0.133386661333867"
"6102ad41aeb80cbf94d1ff64","0.848778265245332","9.99900009999e-05"
"5f727fee07055f1d02a05a99","0.734488151708938","9.99900009999e-05"
"60f5eba9476ad9bc1d4252e9","0.832060117479643","9.99900009999e-05"
"6058071bda217990b860e6ee","0.740696828931798","9.99900009999e-05"
"611c16a6c39439a1dd61c1f7","0.467575546482559","0.0154984501549845"
"5ea93131b2e5310009e185e6","0.719496088658327","9.99900009999e-05"
"605243c1f9d94b7d6caf04dc","0.73965664703754","9.99900009999e-05"
"60c9fcbb6090f57f63cdbebf","0.51109869554563","0.0043995600439956"
"60a2cbab9a74ddb09789cfa8","0.669801794777087","9.99900009999e-05"
"610784123ead4a29b40195b6","0.730664699209222","9.99900009999e-05"
"61294b6db5dce4f32fb7df9b","0.797325681423369","9.99900009999e-05"
"60a81df1832584842fb188f6","0.790381694554881","9.99900009999e-05"
"6151f0f200c152d71f393bb5","0.74037763388377","9.99900009999e-05"
"5e521a4b05acdb243aaee8de","0.603530377094994","9.99900009999e-05"
"5f47b045144b1c1ab5bed08d","0.802095751908683","9.99900009999e-05"
"6109876949a63b51388197c2","0.594478909792727","0.0004999500049995"
"61001bf99a534440d8563358","0.647686769036837","9.99900009999e-05"
"5c105e2757fd11000127e60f","0.788440695450489","9.99900009999e-05"
"5b8ad127ce33a00001e696cf","0.668435753470365","9.99900009999e-05"
"610087304c584b2ba35b4034","0.753954115497506","9.99900009999e-05"
"6053ce04a276ce713b3e7c1a","0.615654091377786","0.0001999800019998"
"5aa26bda35237b000112e35d","0.654520500011257","9.99900009999e-05"
"610068e5f60debf1dafc444d","0.801648563459635","9.99900009999e-05"
"5c61ab19776b38000156cc95","0.547248984677163","0.0011998800119988"
"5b0f33dd1e55760001b9a9ce","0.8194792181878","9.99900009999e-05"
"5bace93b5cd4520001dc04a5","0.782400602318922","9.99900009999e-05"
"58727901d53c97000159dc92","0.526863336945989","0.0015998400159984"
"60fcfce988af0e9f331ec84a","0.407809726808396","0.0582941705829417"
"61118a566bf579b7d69aa202","0.821577772952353","9.99900009999e-05"
"60fcf1a04c245326d05076e0","0.613754959304392","9.99900009999e-05"
"61001a7d72ee7fa3032b8a1a","0.747420652044902","9.99900009999e-05"
"5e2f1e401a4075000d1bee59","0.703073922680658","9.99900009999e-05"
"5f58ceb73a55aa065f014fb4","0.727293194851699","9.99900009999e-05"
"5d2c030eb3efb1001b7e4989","0.58091953563494","9.99900009999e-05"
"610761e24c57926a06f219e2","0.464527892003825","0.197380261973803"
"60fcd99413d2d738147c7d55","0.793273153736758","9.99900009999e-05"
"602e0102c7be4d8f930bccb5","0.582345260405627","0.0005999400059994"
"610414b7a275aba12c4bf8b0","0.714477862963903","9.99900009999e-05"
"5a16eb755d06850001b00bea","0.534180598180751","0.0037996200379962"
"60fe0ff2978d9def5d345ecd","0.507860322178229","0.008999100089991"
"610e25f9f9818357aca7dc5f","0.764530034291813","9.99900009999e-05"
"5e886bafe66dd44f5c740394","0.698979008432448","9.99900009999e-05"
"600f37dd7222cf0f2cf43322","0.625993692616227","9.99900009999e-05"
