"speaker","cluster_idx","n_signals","dcor","p","min_cluster_size"
"610006b5173cacb40e469b7b","5","3","0.973779393348506","0.166983301669833","2"
"610006b5173cacb40e469b7b","2","3","0.850002666332661","0.832816718328167","2"
"610006b5173cacb40e469b7b","4","8","0.772970258450124","0.445555444455554","2"
"610006b5173cacb40e469b7b","0","4","0.69736619566818","0.586341365863414","2"
"610006b5173cacb40e469b7b","1","6","0.726553836942691","0.711428857114289","2"
"610006b5173cacb40e469b7b","3","4","0.928049756219942","0.118688131186881","2"
"615e32053d4f0c25ecbd9aaf","1","7","0.645567820260059","0.525047495250475","2"
"615e32053d4f0c25ecbd9aaf","0","6","0.668395851274741","0.856814318568143","2"
"615e32053d4f0c25ecbd9aaf","4","5","0.657617012086742","0.780821917808219","2"
"615e32053d4f0c25ecbd9aaf","3","3","0.966260048628146","0.327467253274673","2"
"615e32053d4f0c25ecbd9aaf","2","5","0.690039708023837","0.655634436556344","2"
"61001a5d58777b6e99cc43a1","2","12","0.711921363491504","0.117488251174883","2"
"61001a5d58777b6e99cc43a1","4","5","0.733914157842755","0.563543645635436","2"
"61001a5d58777b6e99cc43a1","1","6","0.868067917928473","0.1004899510049","2"
"61001a5d58777b6e99cc43a1","0","5","0.912579070668957","0.267873212678732","2"
"61001a5d58777b6e99cc43a1","3","3","0.953200494329282","0.486351364863514","2"
"6151f63958f5eb5b33db9239","4","6","0.841882764869195","0.196280371962804","2"
"6151f63958f5eb5b33db9239","0","3","0.860040425025457","0.66963303669633","2"
"6151f63958f5eb5b33db9239","5","7","0.559862273735668","0.953204679532047","2"
"6151f63958f5eb5b33db9239","1","5","0.971083298996177","0.018998100189981","2"
"6151f63958f5eb5b33db9239","6","5","0.754707839878634","0.653434656534347","2"
"6151f63958f5eb5b33db9239","3","3","0.824544539714439","0.831716828317168","2"
"6151f63958f5eb5b33db9239","2","3","0.998397572671861","0.335366463353665","2"
"611072022d4ba516aab619ac","2","10","0.63785440854288","0.780621937806219","2"
"611072022d4ba516aab619ac","1","14","0.696328007883311","0.0128987101289871","2"
"611072022d4ba516aab619ac","3","10","0.609028126261675","0.603239676032397","2"
"611072022d4ba516aab619ac","0","6","0.69853305776229","0.960903909609039","2"
"6110c8fb129da6ea8847b9f9","0","10","0.731000837867418","0.0760923907609239","2"
"6110c8fb129da6ea8847b9f9","3","8","0.784331800180692","0.339366063393661","2"
"6110c8fb129da6ea8847b9f9","1","8","0.726337904627685","0.308769123087691","2"
"6110c8fb129da6ea8847b9f9","2","6","0.78851449620974","0.458054194580542","2"
"6110c8fb129da6ea8847b9f9","4","5","0.854174640772583","0.895910408959104","2"
"5be2dab1dc5b8d0001ce18a9","3","8","0.715376685754211","0.793820617938206","2"
"5be2dab1dc5b8d0001ce18a9","0","5","0.824047716916227","0.166983301669833","2"
"5be2dab1dc5b8d0001ce18a9","2","12","0.645698960744762","0.828917108289171","2"
"5be2dab1dc5b8d0001ce18a9","5","4","0.853573022914346","0.460553944605539","2"
"5be2dab1dc5b8d0001ce18a9","4","4","0.737674245095954","0.454754524547545","2"
"5be2dab1dc5b8d0001ce18a9","1","3","0.987008752424373","0.336566343365663","2"
"6102ad41aeb80cbf94d1ff64","2","9","0.735439494880627","0.248475152484752","2"
"6102ad41aeb80cbf94d1ff64","5","3","0.956332530409038","0.503549645035496","2"
"6102ad41aeb80cbf94d1ff64","3","9","0.598265108997253","0.998700129987001","2"
"6102ad41aeb80cbf94d1ff64","0","6","0.96367525830126","0.0081991800819918","2"
"6102ad41aeb80cbf94d1ff64","4","4","0.910988645416017","0.288971102889711","2"
"6102ad41aeb80cbf94d1ff64","1","8","0.74498275977692","0.0318968103189681","2"
"5f727fee07055f1d02a05a99","0","7","0.710081529242812","0.232576742325767","2"
"5f727fee07055f1d02a05a99","1","4","0.806698340710695","0.667333266673333","2"
"5f727fee07055f1d02a05a99","2","7","0.778666966506073","0.221877812218778","2"
"5f727fee07055f1d02a05a99","4","8","0.65732513147402","0.785821417858214","2"
"5f727fee07055f1d02a05a99","3","4","0.896077273775902","0.538046195380462","2"
"60f5eba9476ad9bc1d4252e9","0","8","0.812504681438422","0.126987301269873","2"
"60f5eba9476ad9bc1d4252e9","3","10","0.619551522042859","0.962703729627037","2"
"60f5eba9476ad9bc1d4252e9","1","9","0.709560692955674","0.436056394360564","2"
"60f5eba9476ad9bc1d4252e9","2","8","0.806593510855636","0.181781821817818","2"
"60f5eba9476ad9bc1d4252e9","4","3","0.995137905842268","0.334966503349665","2"
"6058071bda217990b860e6ee","4","5","0.825755447010059","0.86061393860614","2"
"6058071bda217990b860e6ee","2","8","0.730151507091045","0.587141285871413","2"
"6058071bda217990b860e6ee","1","3","0.923464935836546","0.500849915008499","2"
"6058071bda217990b860e6ee","0","3","0.947606717496221","0.498450154984502","2"
"6058071bda217990b860e6ee","3","8","0.766552058482264","0.360663933606639","2"
"6058071bda217990b860e6ee","5","7","0.57829997690053","0.934506549345065","2"
"611c16a6c39439a1dd61c1f7","2","4","0.859192574153763","0.209379062093791","2"
"611c16a6c39439a1dd61c1f7","4","3","0.985503329775892","0.162983701629837","2"
"611c16a6c39439a1dd61c1f7","3","10","0.630594847630455","0.287571242875712","2"
"611c16a6c39439a1dd61c1f7","0","6","0.6889820824775","0.5001499850015","2"
"611c16a6c39439a1dd61c1f7","1","7","0.585335185914413","0.431656834316568","2"
"5ea93131b2e5310009e185e6","2","5","0.92683905435686","0.0257974202579742","2"
"5ea93131b2e5310009e185e6","0","6","0.827595399887229","0.438556144385561","2"
"5ea93131b2e5310009e185e6","4","3","0.92589435824344","0.662433756624338","2"
"5ea93131b2e5310009e185e6","3","6","0.874363861273429","0.145685431456854","2"
"5ea93131b2e5310009e185e6","1","9","0.739716751561128","0.0641935806419358","2"
"5ea93131b2e5310009e185e6","5","9","0.952362276850116","0.0008999100089991","2"
"605243c1f9d94b7d6caf04dc","0","8","0.938069162574478","0.0073992600739926","2"
"605243c1f9d94b7d6caf04dc","1","9","0.629933216886859","0.556044395560444","2"
"605243c1f9d94b7d6caf04dc","2","7","0.657061258049084","0.596940305969403","2"
"605243c1f9d94b7d6caf04dc","4","6","0.87603142275868","0.244275572442756","2"
"605243c1f9d94b7d6caf04dc","3","9","0.71546038941918","0.371162883711629","2"
"60c9fcbb6090f57f63cdbebf","0","38","0.523168233875589","0.0030996900309969","2"
"60a2cbab9a74ddb09789cfa8","2","11","0.754823702995601","0.119088091190881","2"
"60a2cbab9a74ddb09789cfa8","4","5","0.808578916805851","0.301069893010699","2"
"60a2cbab9a74ddb09789cfa8","3","4","0.857120662545905","0.614438556144386","2"
"60a2cbab9a74ddb09789cfa8","0","7","0.803964679815195","0.143685631436856","2"
"60a2cbab9a74ddb09789cfa8","1","4","0.608376382418148","1","2"
"610784123ead4a29b40195b6","1","12","0.74914901144555","0.0333966603339666","2"
"610784123ead4a29b40195b6","2","8","0.67386607768907","0.684431556844316","2"
"610784123ead4a29b40195b6","0","9","0.682836943654192","0.361963803619638","2"
"610784123ead4a29b40195b6","3","3","0.8958295546822","0.663233676632337","2"
"61294b6db5dce4f32fb7df9b","3","6","0.77920111185838","0.61993800619938","2"
"61294b6db5dce4f32fb7df9b","4","11","0.689445383454118","0.170582941705829","2"
"61294b6db5dce4f32fb7df9b","0","8","0.927916237919376","0.0636936306369363","2"
"61294b6db5dce4f32fb7df9b","2","5","0.927655205700097","0.151184881511849","2"
"61294b6db5dce4f32fb7df9b","1","6","0.722874265887468","0.780721927807219","2"
"60a81df1832584842fb188f6","3","9","0.740448585295679","0.43955604439556","2"
"60a81df1832584842fb188f6","2","11","0.783287671602601","0.0461953804619538","2"
"60a81df1832584842fb188f6","0","10","0.800450322306348","0.0128987101289871","2"
"60a81df1832584842fb188f6","1","3","0.750603458588886","1","2"
"6151f0f200c152d71f393bb5","3","7","0.629206949250651","0.692930706929307","2"
"6151f0f200c152d71f393bb5","0","5","0.922497607196195","0.17958204179582","2"
