"speaker","n_clusters","dcor","p","min_cluster_size"
"610006b5173cacb40e469b7b","6","0.692249457183003","0.971702829717028","2"
"615e32053d4f0c25ecbd9aaf","5","0.741754351206575","0.464053594640536","2"
"61001a5d58777b6e99cc43a1","5","0.865980424622267","0.53954604539546","2"
"6151f63958f5eb5b33db9239","7","0.739569073676808","0.987101289871013","2"
"611072022d4ba516aab619ac","4","0.888055284913992","0.331666833316668","2"
"6110c8fb129da6ea8847b9f9","5","0.939591349678336","0.294770522947705","2"
"5be2dab1dc5b8d0001ce18a9","6","0.782353399825766","0.803319668033197","2"
"6102ad41aeb80cbf94d1ff64","6","0.9449292419827","0.0202979702029797","2"
"5f727fee07055f1d02a05a99","5","0.92170756856907","0.0810918908109189","2"
"60f5eba9476ad9bc1d4252e9","5","0.814981453351543","0.430956904309569","2"
"6058071bda217990b860e6ee","6","0.872942350727032","0.114388561143886","2"
"611c16a6c39439a1dd61c1f7","5","0.878079381720757","0.271672832716728","2"
"5ea93131b2e5310009e185e6","6","0.8707321261174","0.217778222177782","2"
"605243c1f9d94b7d6caf04dc","5","0.911383632210923","0.22997700229977","2"
"60c9fcbb6090f57f63cdbebf","1","0","1","2"
"60a2cbab9a74ddb09789cfa8","5","0.914636354148777","0.13028697130287","2"
"610784123ead4a29b40195b6","4","0.918815460555964","0.540545945405459","2"
"61294b6db5dce4f32fb7df9b","5","0.875229397165769","0.456954304569543","2"
"60a81df1832584842fb188f6","4","0.946121885821175","0.28987101289871","2"
"6151f0f200c152d71f393bb5","6","0.810036153254092","0.697130286971303","2"
"5e521a4b05acdb243aaee8de","1","0","1","2"
"5f47b045144b1c1ab5bed08d","5","0.964507916229304","0.0760923907609239","2"
"6109876949a63b51388197c2","5","0.853079778942066","0.373362663733627","2"
"61001bf99a534440d8563358","5","0.812742162128893","0.286671332866713","2"
"5c105e2757fd11000127e60f","5","0.896505871502085","0.31026897310269","2"
"5b8ad127ce33a00001e696cf","5","0.876241936362163","0.1999800019998","2"
"610087304c584b2ba35b4034","5","0.885644472939949","0.428457154284572","2"
"6053ce04a276ce713b3e7c1a","5","0.775202165085778","0.633236676332367","2"
"5aa26bda35237b000112e35d","5","0.751818371195281","0.951404859514049","2"
"610068e5f60debf1dafc444d","4","0.9305393713787","0.461153884611539","2"
"5c61ab19776b38000156cc95","3","0.956574944817723","0.835616438356164","2"
"5b0f33dd1e55760001b9a9ce","5","0.866045988163114","0.589341065893411","2"
"5bace93b5cd4520001dc04a5","6","0.889196872597825","0.368163183681632","2"
"58727901d53c97000159dc92","5","0.793525648772393","0.499350064993501","2"
"60fcfce988af0e9f331ec84a","3","0.982449311576973","0.33016698330167","2"
"61118a566bf579b7d69aa202","5","0.962591714552152","0.0568943105689431","2"
"60fcf1a04c245326d05076e0","4","0.785649370115226","0.835416458354165","2"
"61001a7d72ee7fa3032b8a1a","7","0.818470251700757","0.744725527447255","2"
"5e2f1e401a4075000d1bee59","6","0.87464199663977","0.0967903209679032","2"
"5f58ceb73a55aa065f014fb4","4","0.888985465398737","0.124487551244876","2"
"5d2c030eb3efb1001b7e4989","3","0.991694855609257","0.34036596340366","2"
"610761e24c57926a06f219e2","1","0","1","2"
"60fcd99413d2d738147c7d55","5","0.749403172576013","0.713528647135287","2"
"602e0102c7be4d8f930bccb5","1","0","1","2"
"610414b7a275aba12c4bf8b0","6","0.822957520766172","0.203779622037796","2"
"5a16eb755d06850001b00bea","7","0.881343999448692","0.0605939406059394","2"
"60fe0ff2978d9def5d345ecd","1","0","1","2"
"610e25f9f9818357aca7dc5f","5","0.811237026846483","0.377362263773623","2"
"5e886bafe66dd44f5c740394","5","0.91182167977988","0.0392960703929607","2"
"600f37dd7222cf0f2cf43322","1","0","1","2"
"610006b5173cacb40e469b7b","4","0.930233396133952","0.449455054494551","3"
"615e32053d4f0c25ecbd9aaf","4","0.934164366006325","0.251274872512749","3"
"61001a5d58777b6e99cc43a1","4","0.849925981725384","0.836616338366163","3"
"6151f63958f5eb5b33db9239","4","0.831113169268461","1","3"
"611072022d4ba516aab619ac","4","0.888055284913992","0.338066193380662","3"
"6110c8fb129da6ea8847b9f9","5","0.939591349678336","0.306269373062694","3"
"5be2dab1dc5b8d0001ce18a9","5","0.7902259362923","0.729127087291271","3"
"6102ad41aeb80cbf94d1ff64","5","0.950646186154555","0.102689731026897","3"
"5f727fee07055f1d02a05a99","4","0.909854165380353","0.249375062493751","3"
"60f5eba9476ad9bc1d4252e9","4","0.925813070588655","0.413558644135586","3"
"6058071bda217990b860e6ee","4","0.981640126644418","0.0860913908609139","3"
"611c16a6c39439a1dd61c1f7","4","0.893817104847341","0.542945705429457","3"
"5ea93131b2e5310009e185e6","5","0.880412913451868","0.816818318168183","3"
"605243c1f9d94b7d6caf04dc","5","0.911383632210923","0.224177582241776","3"
"60c9fcbb6090f57f63cdbebf","1","0","1","3"
"60a2cbab9a74ddb09789cfa8","5","0.86619128900222","0.461453854614539","3"
"610784123ead4a29b40195b6","3","0.988739555328383","0.665533446655334","3"
"61294b6db5dce4f32fb7df9b","5","0.875229397165769","0.448855114488551","3"
"60a81df1832584842fb188f6","3","0.975528037305032","0.32956704329567","3"
"6151f0f200c152d71f393bb5","5","0.851659848010966","0.304769523047695","3"
"5e521a4b05acdb243aaee8de","1","0","1","3"
"5f47b045144b1c1ab5bed08d","5","0.964507916229304","0.0731926807319268","3"
"6109876949a63b51388197c2","1","0","1","3"
